"column_name","data_type","is_nullable","column_default"
"id","uuid","NO","gen_random_uuid()"
"company_id","uuid","YES",""
"reporting_period","uuid","YES",""
"fiscal_year","integer","YES",""
"fiscal_quarter","integer","YES",""
"revenue","numeric","YES",""
"cost_of_goods_sold","numeric","YES",""
"gross_profit","numeric","YES",""
"operating_expenses","numeric","YES",""
"selling_general_administrative_expenses","numeric","YES",""
"research_development_expenses","numeric","YES",""
"other_operating_expenses","numeric","YES",""
"operating_income","numeric","YES",""
"interest_expense","numeric","YES",""
"interest_income","numeric","YES",""
"other_income_expense_net","numeric","YES",""
"earnings_before_tax","numeric","YES",""
"income_tax_expense","numeric","YES",""
"net_income","numeric","YES",""
"preferred_dividends","numeric","YES",""
"net_income_available_to_common","numeric","YES",""
"weighted_average_shares_outstanding_basic","integer","YES",""
"weighted_average_shares_outstanding_diluted","integer","YES",""
"earnings_per_share_basic","numeric","YES",""
"earnings_per_share_diluted","numeric","YES",""
"document_id","uuid","YES",""
"revenue_gross_revenue","numeric","YES",""
"revenue_net_revenue","numeric","YES",""
"revenue_other_revenue_interest_revenue","numeric","YES",""
"revenue_other_revenue_rental_income","numeric","YES",""
"revenue_other_revenue_royalty_income","numeric","YES",""
"revenue_other_revenue_dividend_income","numeric","YES",""
"revenue_other_revenue_foreign_exchange_gains","numeric","YES",""
"revenue_other_revenue_gains_from_investments","numeric","YES",""
"cogs_raw_materials","numeric","YES",""
"cogs_direct_labor","numeric","YES",""
"cogs_manufacturing_overheads","numeric","YES",""
"cogs_freight_in","numeric","YES",""
"cogs_import_duties","numeric","YES",""
"cogs_packaging_costs","numeric","YES",""
"cogs_inventory_write_downs","numeric","YES",""
"cogs_supplier_discounts","numeric","YES",""
"operating_expenses_sg_a_salaries_and_wages","numeric","YES",""
"operating_expenses_sg_a_marketing_and_advertising","numeric","YES",""
"operating_expenses_sg_a_rent_and_utilities","numeric","YES",""
"operating_expenses_sg_a_office_supplies","numeric","YES",""
"operating_expenses_sg_a_insurance","numeric","YES",""
"operating_expenses_sg_a_travel_and_entertainment","numeric","YES",""
"operating_expenses_sg_a_professional_fees_legal_consulting","numeric","YES",""
"operating_expenses_sg_a_depreciation_of_office_equipment","numeric","YES",""
"operating_expenses_sg_a_communication_expenses","numeric","YES",""
"operating_expenses_r_and_d_salaries_of_r_and_d_staff","numeric","YES",""
"operating_expenses_r_and_d_materials_and_supplies_for_r_and_d","numeric","YES",""
"operating_expenses_r_and_d_contract_research_expenses","numeric","YES",""
"operating_expenses_r_and_d_r_and_d_facility_costs","numeric","YES",""
"operating_expenses_depreciation_and_amortization_depreciation_o","numeric","YES",""
"operating_expenses_depreciation_and_amortization_amortization_o","numeric","YES",""
"operating_expenses_depreciation_and_amortization_accumulated_de","numeric","YES",""
"operating_expenses_other_operating_expenses_legal_fees","numeric","YES",""
"operating_expenses_other_operating_expenses_consulting_fees","numeric","YES",""
"operating_expenses_other_operating_expenses_restructuring_costs","numeric","YES",""
"operating_expenses_other_operating_expenses_impairment_charges","numeric","YES",""
"operating_expenses_other_operating_expenses_litigation_settleme","numeric","YES",""
"operating_expenses_other_operating_expenses_environmental_remed","numeric","YES",""
"other_income_expenses_interest_income","numeric","YES",""
"other_income_expenses_interest_expense","numeric","YES",""
"other_income_expenses_gain_or_loss_on_asset_sales","numeric","YES",""
"other_income_expenses_foreign_exchange_gains_losses","numeric","YES",""
"other_income_expenses_investment_income","numeric","YES",""
"other_income_expenses_dividend_income","numeric","YES",""
"other_income_expenses_unrealized_gains_losses_on_securities","numeric","YES",""
"other_income_expenses_other_non_operating_income","numeric","YES",""
"other_income_expenses_other_non_operating_expenses","numeric","YES",""
"income_before_tax","numeric","YES",""
"tax_expense_current_tax_expense","numeric","YES",""
"tax_expense_deferred_tax_expense","numeric","YES",""
"tax_expense_tax_credits","numeric","YES",""
"tax_expense_tax_adjustments","numeric","YES",""
"net_income_minority_interest","numeric","YES",""
"net_income_preferred_dividends","numeric","YES",""
"net_income_earnings_attributable_to_common_shareholders","numeric","YES",""
"eps_basic_eps","numeric","YES",""
"eps_diluted_eps","numeric","YES",""
"comprehensive_income_unrealized_gains_losses_on_available_for_s","numeric","YES",""
"comprehensive_income_pension_adjustments","numeric","YES",""
"comprehensive_income_foreign_currency_translation_adjustments","numeric","YES",""
"comprehensive_income_other_comprehensive_income_items","numeric","YES",""
"other_potential_items_extraordinary_items","numeric","YES",""
"other_potential_items_non_recurring_items","numeric","YES",""
"other_potential_items_discontinued_operations","numeric","YES",""
