"column_name","data_type","is_nullable","column_default"
"id","uuid","NO","gen_random_uuid()"
"company_id","uuid","YES",""
"reporting_period","uuid","YES",""
"fiscal_year","integer","YES",""
"fiscal_quarter","integer","YES",""
"gross_margin","numeric","YES",""
"operating_margin","numeric","YES",""
"net_margin","numeric","YES",""
"return_on_assets","numeric","YES",""
"return_on_equity","numeric","YES",""
"return_on_invested_capital","numeric","YES",""
"current_ratio","numeric","YES",""
"quick_ratio","numeric","YES",""
"inventory_turnover","numeric","YES",""
"receivables_turnover","numeric","YES",""
"asset_turnover","numeric","YES",""
"debt_to_equity","numeric","YES",""
"debt_to_ebitda","numeric","YES",""
"interest_coverage_ratio","numeric","YES",""
"price_to_earnings","numeric","YES",""
"price_to_book","numeric","YES",""
"enterprise_value","numeric","YES",""
"ev_to_ebitda","numeric","YES",""
"ev_to_ebit","numeric","YES",""
"revenue_growth_rate","numeric","YES",""
"ebitda_growth_rate","numeric","YES",""
"net_income_growth_rate","numeric","YES",""
"free_cash_flow","numeric","YES",""
"unlevered_free_cash_flow","numeric","YES",""
"levered_free_cash_flow","numeric","YES",""
"dividend_yield","numeric","YES",""
"payout_ratio","numeric","YES",""
"document_id","uuid","YES",""
