"column_name","data_type","is_nullable","column_default"
"id","uuid","NO","gen_random_uuid()"
"company_id","uuid","NO",""
"reporting_period","character varying","YES",""
"fiscal_year","integer","YES",""
"franchisor","character varying","YES",""
"franchisee","character varying","YES",""
"franchise_fee","numeric","YES",""
"royalty_fee_percentage","numeric","YES",""
"ad_fund_fee_percentage","numeric","YES",""
"term_of_agreement_years","integer","YES",""
"renewal_terms","character varying","YES",""
"territory_protection","boolean","YES",""
"training_programs_included","boolean","YES",""
"initial_investment_range_low","numeric","YES",""
"initial_investment_range_high","numeric","YES",""
"technology_fee","numeric","YES",""
"local_marketing","numeric","YES",""
"legal_disclaimers","text","YES",""
"date_of_issuance","date","YES",""
"business_experience_of_principals","text","YES",""
"litigation_history","text","YES",""
"bankruptcy","boolean","YES",""
"estimated_initial_investment","numeric","YES",""
"restrictions_on_sources_of_products_and_services","text","YES",""
"franchisee_obligations","text","YES",""
"financing","text","YES",""
"franchisor_assistance_advertising_computer_systems_and_training","text","YES",""
"trademarks","text","YES",""
"patents_copyrights_and_proprietary_information","text","YES",""
"obligation_to_participate_in_the_actual_operation_of_the_franch","text","YES",""
"restrictions_on_what_the_franchisee_may_sell","text","YES",""
"renewal_termination_transfer_and_dispute_resolution","text","YES",""
"public_figures","boolean","YES",""
"financial_performance_representations","text","YES",""
"outlets_and_franchisee_information","text","YES",""
"financial_statements","boolean","YES",""
"contracts","boolean","YES",""
"receipts","boolean","YES",""
"created_at","timestamp with time zone","YES","CURRENT_TIMESTAMP"
"updated_at","timestamp with time zone","YES","CURRENT_TIMESTAMP"
